#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      2.57e+01      4.04e-02      8.13e-01      1.18e-01    1.0e-03
   5000      3.80e+00      7.07e-03      1.24e-01      1.70e-02    9.4e-04
  10000      2.65e+00      4.28e-02      8.88e-02      2.07e-02    8.9e-04
  15000      1.77e+00      1.13e-02      6.09e-02      2.02e-02    8.4e-04
  20000      2.35e+00      3.58e-02      8.31e-02      1.54e-02    7.9e-04
  25000      1.62e+00      1.74e-02      5.91e-02      1.43e-02    7.5e-04
  30000      1.14e+00      1.18e-02      4.26e-02      1.31e-02    7.1e-04
  35000      1.38e+00      1.49e-03      5.35e-02      1.18e-02    6.7e-04
  40000      1.28e+00      8.16e-03      5.08e-02      2.28e-02    6.3e-04
  45000      8.97e-01      4.94e-03      3.67e-02      1.16e-02    6.0e-04
  50000      1.98e+00      7.24e-03      8.36e-02      1.21e-02    5.6e-04
  55000      8.69e-01      8.39e-03      3.75e-02      1.05e-02    5.3e-04
  60000      1.08e+00      2.21e-03      4.82e-02      1.44e-02    5.0e-04
  65000      1.18e+00      4.79e-03      5.40e-02      8.70e-03    4.7e-04
  70000      1.08e+00      4.80e-03      5.12e-02      9.56e-03    4.5e-04
  75000      2.39e-01      9.32e-03      1.11e-02      4.81e-03    4.2e-04
  80000      1.51e+00      1.47e-02      7.54e-02      6.51e-03    4.0e-04
  85000      1.13e+00      8.92e-03      5.79e-02      1.26e-02    3.8e-04
  90000      5.81e-01      3.63e-03      3.07e-02      7.24e-03    3.5e-04
  95000      9.59e-01      6.81e-03      5.20e-02      1.43e-02    3.3e-04
 100000      7.31e-01      1.34e-02      4.05e-02      7.91e-03    3.2e-04
 105000      4.05e-01      7.41e-04      2.34e-02      4.22e-03    3.0e-04
 110000      4.40e-01      8.53e-04      2.58e-02      1.14e-02    2.8e-04
 115000      5.37e-01      4.25e-03      3.25e-02      1.27e-02    2.7e-04
 120000      3.86e-01      5.77e-04      2.22e-02      2.66e-02    2.5e-04
 125000      6.30e-01      1.78e-03      4.06e-02      1.05e-02    2.4e-04
 130000      7.31e-01      6.10e-03      4.86e-02      5.87e-03    2.2e-04
 135000      1.33e+00      5.86e-04      9.13e-02      1.31e-02    2.1e-04
 140000      5.22e-01      5.90e-05      3.68e-02      6.13e-03    2.0e-04
 145000      3.42e-01      3.77e-03      2.46e-02      5.57e-03    1.9e-04
 150000      5.92e-01      9.08e-03      4.38e-02      6.57e-03    1.8e-04
 155000      6.58e-01      6.24e-03      4.97e-02      1.72e-02    1.7e-04
 160000      3.48e-01      4.07e-04      2.74e-02      6.50e-03    1.6e-04
 165000      6.02e-01      9.28e-04      4.89e-02      4.54e-03    1.5e-04
 170000      4.50e-01      4.09e-03      3.74e-02      7.20e-03    1.4e-04
 175000      5.94e-01      3.16e-03      5.10e-02      9.29e-03    1.3e-04
 180000      6.25e-01      1.04e-03      5.52e-02      9.90e-03    1.3e-04
 185000      4.39e-01      3.03e-03      3.96e-02      1.03e-02    1.2e-04
 190000      3.47e-01      2.71e-03      3.23e-02      6.75e-03    1.1e-04
 195000      3.36e-01      1.66e-03      3.22e-02      6.53e-03    1.1e-04
